prov,ur,tamano,sex,age,soct2,prot3,protest
1511,1,4,Male,44,1,2,No
1512,1,3,Male,29,2,2,No
1512,1,3,Male,39,2,2,No
1513,2,5,Male,44,2,2,No
1515,1,2,Female,51,1,2,No
1515,1,3,Male,46,2,2,No
1513,1,3,Female,22,2,2,No
1513,2,5,Male,16,3,2,No
1513,1,3,Female,41,3,2,No
1513,2,5,Female,16,2,2,No
1513,2,5,Female,52,3,2,No
1511,1,4,Male,18,1,2,No
1511,1,4,Male,29,1,2,No
1515,1,3,Female,55,2,2,No
1513,1,2,Female,48,2,2,No
1511,1,4,Female,32,2,2,No
1513,1,2,Male,25,2,2,No
1513,1,3,Male,60,1,2,No
1512,1,3,Female,38,2,2,No
1513,2,5,Female,20,3,2,No
1514,1,3,Female,30,2,2,No
1515,2,5,Male,38,2,2,No
1515,1,3,Male,18,1,2,No
1511,1,3,Female,26,3,2,No
1513,1,3,Female,18,3,1,Yes
1515,1,2,Female,59,3,2,No
1513,1,3,Female,47,1,2,No
1515,1,2,Male,33,2,2,No
1515,1,2,Male,32,2,2,No
1512,1,3,Female,20,2,2,No
1513,1,3,Male,33,2,2,No
1511,1,4,Female,41,2,2,No
1512,1,3,Male,47,3,1,Yes
1513,1,2,Male,42,2,2,No
1513,1,2,Male,45,2,2,No
1511,1,3,Male,49,2,2,No
1512,1,3,Male,30,1,2,No
1515,1,3,Male,30,2,2,No
1513,1,2,Female,46,2,1,Yes
1513,1,2,Male,16,2,2,No
1515,2,5,Female,44,2,2,No
1513,1,2,Female,16,2,2,No
1512,1,3,Female,67,3,2,No
1513,2,5,Male,83,3,2,No
1515,1,3,Female,42,2,2,No
1515,1,2,Male,37,1,2,No
1515,1,3,Male,39,2,2,No
1515,2,5,Male,29,2,2,No
1513,2,5,Female,33,2,2,No
1514,1,3,Male,19,3,2,No
1513,1,2,Male,33,1,2,No
1511,1,3,Male,32,1,2,No
1514,1,3,Female,22,2,2,No
1511,1,4,Male,59,1,2,No
1513,2,5,Female,40,2,1,Yes
1515,1,2,Female,33,3,2,No
1515,1,3,Male,20,1,2,No
1516,1,3,Female,24,3,2,No
1515,1,3,Female,29,1,2,No
1515,1,3,Female,48,3,2,No
1511,1,3,Female,67,1,2,No
1515,1,3,Female,38,2,2,No
1514,1,3,Male,35,1,2,No
1514,1,3,Female,19,3,1,Yes
1513,1,2,Female,18,3,2,No
1513,2,5,Female,40,3,2,No
1515,1,2,Male,63,3,2,No
1515,2,5,Female,35,1,2,No
1516,1,3,Female,27,3,2,No
1513,2,5,Female,22,3,2,No
1511,1,3,Female,44,1,1,Yes
1513,1,2,Male,47,1,1,Yes
1514,1,3,Female,40,2,2,No
1513,1,2,Male,57,2,2,No
1514,1,3,Male,49,2,2,No
1515,1,2,Male,50,3,2,No
1513,2,5,Male,16,2,2,No
1515,2,5,Male,17,1,2,No
1511,1,3,Male,55,3,2,No
1515,2,5,Female,31,1,2,No
1514,1,3,Female,62,2,2,No
1513,1,2,Female,41,2,2,No
1515,1,3,Female,33,3,2,No
1513,1,3,Female,39,1,2,No
1515,2,5,Male,64,2,2,No
1513,1,2,Female,16,1,2,No
1515,2,5,Male,32,1,2,No
1513,2,5,Female,58,2,2,No
1515,1,3,Male,40,1,2,No
1515,1,2,Male,17,2,2,No
1515,2,5,Female,67,1,2,No
1513,1,2,Female,34,2,2,No
1511,1,3,Male,21,2,1,Yes
1511,1,3,Female,65,2,2,No
1511,1,3,Male,44,2,2,No
1511,1,4,Male,35,1,2,No
1515,2,5,Male,57,NA,2,No
1516,1,3,Female,37,1,2,No
1515,1,3,Female,33,3,2,No
1515,1,2,Female,26,2,2,No
1513,1,2,Male,19,1,2,No
1515,1,3,Female,53,3,2,No
1515,1,2,Female,30,3,2,No
1513,2,5,Female,22,1,2,No
1515,2,5,Male,43,1,2,No
1515,2,5,Female,70,3,2,No
1515,2,5,Female,34,3,2,No
1513,2,5,Male,26,1,2,No
1515,1,3,Female,22,2,2,No
1515,1,3,Male,19,1,2,No
1515,1,3,Female,36,3,2,No
1513,2,5,Female,67,3,2,No
1516,1,3,Female,73,3,2,No
1515,1,3,Male,65,1,2,No
1515,1,3,Male,34,2,2,No
1513,1,3,Male,38,2,2,No
1515,1,3,Male,55,1,1,Yes
1513,1,2,Male,41,1,1,Yes
1513,1,2,Female,30,1,2,No
1515,2,5,Female,47,2,2,No
1516,1,3,Male,26,1,1,Yes
1512,1,3,Female,44,1,2,No
1513,1,2,Male,20,2,2,No
1513,2,5,Male,61,1,2,No
1513,1,2,Male,51,2,2,No
1513,1,2,Female,48,3,2,No
1513,2,5,Male,36,3,2,No
1515,1,2,Female,23,3,2,No
1516,1,3,Male,52,2,2,No
1516,1,3,Female,34,3,2,No
1511,1,3,Male,18,2,2,No
1513,1,2,Male,73,1,2,No
1513,1,2,Male,38,3,2,No
1515,1,3,Male,79,2,2,No
1515,1,3,Male,29,1,2,No
1515,1,3,Male,17,1,2,No
1513,1,2,Female,45,1,2,No
1513,1,2,Female,22,2,2,No
1515,2,5,Female,18,3,2,No
1511,1,4,Female,54,2,2,No
1513,1,3,Male,23,1,2,No
1513,1,2,Female,30,2,2,No
1515,1,3,Male,29,1,2,No
1511,1,3,Female,16,3,2,No
1513,1,2,Female,16,3,2,No
1515,1,2,Female,30,1,2,No
1512,1,3,Male,19,2,1,Yes
1513,2,5,Female,70,1,1,Yes
1511,1,4,Female,59,NA,2,No
1516,1,3,Male,18,2,2,No
1513,1,3,Female,47,2,2,No
1515,1,2,Male,43,1,2,No
1513,2,5,Male,38,3,2,No
1515,1,3,Female,38,3,2,No
1515,1,3,Female,70,3,1,Yes
1515,1,2,Male,19,3,2,No
1513,2,5,Female,38,1,2,No
1515,2,5,Male,63,2,2,No
1515,1,3,Male,68,1,2,No
1515,1,2,Female,54,2,2,No
1513,1,2,Female,59,2,2,No
1515,1,2,Female,19,1,2,No
1513,1,2,Male,35,2,2,No
1515,2,5,Male,70,3,2,No
1515,1,3,Male,41,1,2,No
1515,1,2,Female,47,2,2,No
1516,1,3,Male,45,1,2,No
1512,1,3,Female,24,1,2,No
1515,1,2,Male,29,3,1,Yes
1513,2,5,Male,60,1,2,No
1515,2,5,Male,44,2,2,No
1514,1,3,Female,65,3,2,No
1511,1,4,Male,48,3,1,Yes
1515,1,3,Male,75,1,2,No
1515,1,3,Female,24,2,2,No
1515,1,3,Female,27,2,1,Yes
1516,1,3,Male,44,2,2,No
1514,1,3,Male,18,2,2,No
1515,1,3,Male,60,1,2,No
1516,1,3,Female,62,2,2,No
1515,1,3,Female,20,1,1,Yes
1513,1,2,Male,47,2,2,No
1515,1,3,Male,40,2,2,No
1512,1,3,Female,53,3,2,No
1513,1,3,Male,81,3,2,No
1513,1,3,Male,26,2,2,No
1515,1,3,Female,29,3,2,No
1515,1,2,Male,52,2,2,No
1513,2,5,Male,77,3,2,No
1515,1,2,Female,27,2,2,No
1516,1,3,Male,35,2,2,No
1512,1,3,Male,62,1,2,No
1511,1,4,Female,16,2,2,No
1513,1,2,Female,28,2,2,No
1515,2,5,Female,50,3,2,No
1515,2,5,Female,24,1,2,No
1515,2,5,Female,16,2,2,No
1511,1,3,Female,38,3,2,No
1515,2,5,Female,25,3,2,No
1513,2,5,Male,43,2,2,No
1513,1,2,Female,45,2,2,No
1513,1,2,Male,24,3,2,No
1515,1,3,Female,49,1,2,No
1513,1,2,Female,41,1,2,No
1515,2,5,Male,19,1,2,No
1515,2,5,Male,16,3,2,No
1513,1,2,Male,43,2,2,No
1515,1,2,Male,25,2,1,Yes
1515,1,2,Female,34,2,2,No
1513,1,2,Male,17,1,2,No
1514,1,3,Male,71,2,2,No
1515,1,2,Male,66,2,2,No
1511,1,4,Female,19,2,2,No
1514,1,3,Male,31,2,2,No
1513,1,2,Female,30,1,2,No
1513,2,5,Male,19,3,2,No
1529,1,2,Female,39,3,2,No
1524,1,3,Female,84,3,2,No
1529,1,4,Female,57,2,2,No
1528,1,3,Male,21,3,2,No
1526,2,5,Male,36,1,2,No
1521,2,5,Male,59,3,2,No
1529,1,2,Female,68,3,2,No
1527,1,4,Female,63,2,2,No
1521,1,3,Male,57,2,2,No
1528,1,4,Female,42,3,2,No
1529,1,2,Female,30,2,2,No
1528,1,4,Male,40,3,2,No
1528,1,3,Female,18,3,2,No
1529,1,2,Male,31,3,2,No
1528,1,4,Female,37,3,2,No
1526,1,2,Female,76,NA,2,No
1525,2,5,Female,26,3,2,No
1523,1,4,Female,41,1,1,Yes
1523,1,3,Female,29,3,2,No
1526,1,2,Male,16,1,2,No
1523,2,5,Female,20,3,1,Yes
1528,1,4,Female,29,3,2,No
1528,1,4,Female,34,3,2,No
1523,2,5,Male,30,2,2,No
1528,1,4,Female,51,3,2,No
1523,1,2,Male,21,1,1,Yes
1523,1,4,Female,72,3,1,Yes
1523,1,2,Female,31,2,2,No
1526,1,3,Female,59,2,2,No
1527,1,4,Female,30,3,2,No
1523,1,2,Female,34,3,2,No
1529,2,5,Male,18,2,2,No
1529,1,2,Male,18,1,2,No
1529,2,5,Male,75,3,2,No
1529,1,4,Female,45,2,2,No
1521,1,2,Female,46,NA,2,No
1528,1,4,Female,68,3,2,No
1529,1,4,Female,20,2,2,No
1529,1,4,Female,38,2,2,No
1523,2,5,Male,29,3,2,No
1521,2,5,Male,61,2,2,No
1529,1,4,Male,55,2,2,No
1521,1,2,Male,64,1,1,Yes
1523,1,3,Male,62,1,2,No
1521,2,5,Male,22,1,2,No
1523,1,4,Male,50,2,2,No
1523,2,5,Male,27,3,1,Yes
1528,1,3,Male,85,1,2,No
1529,1,2,Male,36,1,2,No
1523,1,3,Male,25,1,2,No
1524,1,3,Male,65,2,2,No
1526,1,3,Female,24,3,1,Yes
1528,1,4,Male,58,3,2,No
1529,1,2,Female,57,3,2,No
1529,1,2,Female,42,3,2,No
1529,1,2,Female,24,2,2,No
1523,1,4,Male,55,2,2,No
1523,2,5,Female,17,3,2,No
1525,1,2,Female,26,2,2,No
1523,1,3,Male,24,1,2,No
1521,1,2,Female,33,2,2,No
1526,2,5,Female,17,3,2,No
1526,2,5,Male,23,2,2,No
1526,1,2,Male,34,2,1,Yes
1523,2,5,Male,36,2,2,No
1525,2,5,Female,36,3,1,Yes
1528,1,4,Female,29,3,2,No
1525,1,4,Male,19,1,2,No
1526,1,2,Male,34,1,1,Yes
1528,1,3,Male,33,1,2,No
1526,2,5,Male,51,2,2,No
1521,1,3,Male,51,2,1,Yes
1526,1,2,Male,43,2,2,No
1525,1,2,Male,31,2,2,No
1526,1,2,Male,20,3,2,No
1526,1,2,Female,36,3,2,No
1526,1,2,Male,74,3,2,No
1529,1,4,Male,21,1,2,No
1528,1,3,Male,26,2,2,No
1523,1,2,Female,49,3,2,No
1529,1,2,Female,64,3,2,No
1525,2,5,Male,43,1,2,No
1523,1,2,Male,24,2,2,No
1523,1,2,Female,35,3,2,No
1529,1,2,Female,27,3,2,No
1528,1,4,Male,27,3,2,No
1529,1,2,Female,17,2,2,No
1526,1,2,Female,18,2,2,No
1523,1,4,Male,28,2,2,No
1525,1,4,Female,69,3,2,No
1523,1,2,Female,71,1,2,No
1524,1,3,Female,19,1,2,No
1523,1,4,Male,34,1,1,Yes
1527,1,4,Female,36,3,2,No
1526,2,5,Female,30,1,2,No
1529,1,2,Male,60,3,2,No
1523,1,2,Male,18,2,1,Yes
1523,1,3,Female,62,2,2,No
1523,1,3,Male,37,2,2,No
1525,1,2,Female,17,2,2,No
1525,1,4,Male,52,1,2,No
1529,2,5,Female,55,2,2,No
1525,2,5,Male,16,1,2,No
1526,2,5,Male,55,2,2,No
1525,1,4,Female,47,2,2,No
1526,1,2,Male,59,3,2,No
1525,1,4,Female,39,1,2,No
1525,1,4,Female,37,2,2,No
1523,1,4,Female,24,2,2,No
1529,2,5,Female,82,3,2,No
1525,2,5,Female,49,2,2,No
1527,1,4,Male,38,3,2,No
1527,1,4,Male,31,2,2,No
1525,1,4,Female,19,3,2,No
1529,1,2,Female,52,3,2,No
1529,1,2,Female,57,1,2,No
1527,1,4,Male,49,2,2,No
1523,1,3,Female,42,3,2,No
1529,1,4,Male,50,2,2,No
1524,1,2,Female,24,1,2,No
1528,1,4,Female,58,3,2,No
1529,1,2,Male,70,2,2,No
1525,1,4,Female,25,1,2,No
1525,1,4,Female,59,1,2,No
1527,1,4,Female,58,3,2,No
1529,1,4,Female,35,1,2,No
1526,1,3,Female,43,3,2,No
1521,1,3,Female,33,2,2,No
1525,1,4,Male,18,2,2,No
1528,1,3,Female,39,3,1,Yes
1523,1,2,Male,32,3,2,No
1521,1,3,Female,37,2,2,No
1525,2,5,Female,22,2,2,No
1524,1,2,Male,43,2,2,No
1521,1,3,Male,43,3,2,No
1527,1,4,Male,56,1,2,No
1529,1,2,Male,44,3,2,No
1524,1,2,Female,18,2,2,No
1529,1,2,Male,76,2,2,No
1525,1,4,Male,41,1,1,Yes
1526,2,5,Female,75,3,2,No
1529,1,2,Female,30,2,2,No
1529,1,2,Female,22,2,2,No
1525,2,5,Male,32,1,2,No
1526,1,3,Male,41,1,2,No
1523,1,2,Female,49,3,2,No
1523,1,2,Male,63,3,2,No
1526,2,5,Female,16,3,2,No
1523,1,4,Male,21,1,2,No
1526,1,3,Female,45,3,1,Yes
1528,1,4,Male,64,2,2,No
1526,2,5,Male,41,1,2,No
1525,1,4,Female,17,3,2,No
1526,2,5,Female,38,2,2,No
1521,1,3,Female,62,2,2,No
1529,1,2,Male,58,2,2,No
1521,2,5,Female,35,2,1,Yes
1521,1,3,Female,62,1,2,No
1529,1,2,Female,49,3,2,No
1527,1,4,Female,27,1,2,No
1524,1,3,Female,65,2,2,No
1525,1,4,Female,42,1,2,No
1525,1,4,Male,32,2,2,No
1524,1,2,Male,88,1,2,No
1526,2,5,Male,77,2,2,No
1529,1,4,Female,18,1,2,No
1523,1,2,Female,38,2,1,Yes
1523,1,2,Male,66,2,2,No
1521,1,2,Female,25,NA,2,No
1528,1,4,Male,49,2,2,No
1528,1,4,Male,44,2,2,No
1526,1,3,Male,60,3,2,No
1523,1,4,Female,23,2,2,No
1526,1,2,Male,43,3,1,Yes
1523,1,2,Female,28,3,2,No
1526,1,2,Female,27,2,1,Yes
1521,2,5,Female,38,2,2,No
1528,1,4,Male,20,2,2,No
1521,1,2,Male,38,1,2,No
1521,1,2,Female,19,2,2,No
1521,1,2,Male,53,2,2,No
1523,2,5,Female,42,2,1,Yes
1521,1,2,Female,64,3,2,No
1525,2,5,Male,29,1,1,Yes
1521,1,2,Male,34,2,1,Yes
1527,1,4,Male,21,2,2,No
1521,1,2,Female,44,3,2,No
1526,1,3,Male,68,3,2,No
1524,1,2,Male,28,1,1,Yes
1526,1,3,Female,37,2,2,No
1521,1,2,Male,18,3,2,No
1523,1,2,Male,44,2,2,No
1526,2,5,Male,40,2,2,No
1529,2,5,Female,29,1,2,No
1526,2,5,Female,37,3,2,No
1529,1,4,Male,37,1,1,Yes
1529,1,4,Male,33,3,1,Yes
1529,2,5,Female,44,1,2,No
1525,1,4,Male,30,2,1,Yes
1525,1,2,Male,27,2,2,No
1524,1,2,Male,60,1,1,Yes
1526,2,5,Female,47,3,2,No
1526,2,5,Female,28,2,2,No
1525,2,5,Female,54,2,2,No
1529,1,2,Male,51,3,2,No
1525,1,4,Male,23,2,2,No
1524,1,2,Male,16,1,2,No
1521,1,3,Female,24,1,2,No
1525,1,2,Male,18,2,2,No
1525,1,2,Female,61,3,2,No
1521,2,5,Female,71,2,2,No
1526,2,5,Male,49,1,2,No
1524,1,3,Male,17,3,1,Yes
1521,2,5,Male,36,2,2,No
1524,1,2,Female,58,3,2,No
1528,1,4,Male,24,1,2,No
1524,1,3,Female,44,1,2,No
1528,1,3,Female,67,3,2,No
1521,1,3,Male,29,2,1,Yes
1524,1,3,Male,30,1,2,No
1529,1,2,Male,20,2,2,No
1525,2,5,Female,30,2,2,No
1526,1,2,Male,58,2,1,Yes
1525,2,5,Male,73,3,2,No
1524,1,2,Female,36,2,1,Yes
1524,1,2,Male,44,1,2,No
1525,1,4,Male,65,3,2,No
1526,2,5,Male,27,2,2,No
1523,1,3,Female,49,3,2,No
1529,2,5,Female,30,3,2,No
1523,1,2,Male,33,3,2,No
1524,1,3,Female,37,3,2,No
1529,2,5,Male,46,2,1,Yes
1526,1,3,Male,20,3,2,No
1529,2,5,Male,28,1,2,No
1521,1,2,Male,28,2,2,No
1529,1,2,Male,31,1,1,Yes
1528,1,3,Male,57,2,2,No
1526,2,5,Female,49,3,2,No
1524,1,3,Male,45,2,2,No
1529,1,2,Male,33,2,2,No
1526,1,2,Female,23,3,2,No
1529,1,2,Female,20,2,2,No
1525,1,2,Female,42,3,NA,NA
1529,1,2,Male,17,1,2,No
1525,1,2,Female,34,3,2,No
1528,1,4,Female,65,3,2,No
1527,1,4,Female,20,1,2,No
1525,1,4,Male,35,2,2,No
1528,1,4,Male,43,2,1,Yes
1521,2,5,Female,45,3,2,No
1523,2,5,Male,60,3,2,No
1525,1,4,Male,50,1,2,No
1521,2,5,Male,16,1,2,No
1523,2,5,Female,37,3,2,No
1528,1,3,Male,38,1,2,No
1529,1,2,Female,21,2,2,No
1529,1,2,Male,18,3,1,Yes
1526,2,5,Male,17,3,2,No
1521,1,3,Male,38,2,2,No
1529,2,5,Female,19,3,2,No
1525,1,4,Female,61,3,2,No
1526,1,2,Female,38,2,1,Yes
1523,1,4,Female,53,1,2,No
1525,1,2,Female,63,1,2,No
1525,2,5,Male,51,3,2,No
1523,1,3,Female,18,2,2,No
1526,1,2,Female,56,3,2,No
1525,1,4,Male,49,2,2,No
1528,1,3,Female,40,3,2,No
1528,1,4,Male,32,2,2,No
1523,1,3,Female,34,3,2,No
1528,1,4,Male,52,3,2,No
1526,1,3,Male,30,2,2,No
1524,1,3,Male,19,2,2,No
1525,1,2,Male,62,2,2,No
1521,2,5,Male,33,2,2,No
1526,1,2,Male,27,2,1,Yes
1524,1,2,Female,74,3,2,No
1525,1,4,Female,17,3,2,No
1526,2,5,Male,22,2,1,Yes
1526,2,5,Female,60,3,2,No
